"YEAR","SEX","MOI","agp","e0_median","e0_lower","e0_mean","e0_upper","e0_sd","e0_max","e0_min","max.diff","County_Township_ZH","Indi"
2000,1,10002010,0,75.1196107526052,73.3577580215179,75.1465378718541,76.9353177221903,0.912642780783786,78.3931039363421,72.0916324542159,6.3014714821262,"宜蘭縣宜蘭市",0
2000,1,10002020,0,75.1615730697487,72.9975039654844,75.2440868911569,77.4906698168294,1.14621577840432,81.0488900527448,71.8137828097755,9.23510724296929,"宜蘭縣羅東鎮",0
2000,1,10002030,0,71.9899753220219,69.7009277826288,72.0131969224571,74.3254660622855,1.17972915297363,77.2626767768458,68.0235918727745,9.23908490407129,"宜蘭縣蘇澳鎮",0
2000,1,10002040,0,72.7525645830939,69.9892206514237,72.8079453868853,75.6266701223469,1.43812486503142,79.2746812778959,68.4288909766014,10.8457903012945,"宜蘭縣頭城鎮",0
2000,1,10002050,0,72.7425526249172,70.2739315136335,72.7747332687003,75.2755350237672,1.27591926278921,78.2142901221096,67.8834092113344,10.3308809107752,"宜蘭縣礁溪鄉",0
2000,1,10002060,0,71.8040628878936,68.6464049747861,71.8565957189536,75.0667864631212,1.63785242049365,86.2844779135125,65.6851780303285,20.599299883184,"宜蘭縣壯圍鄉",0
2000,1,10002070,0,72.1245894174317,69.5780059721623,72.1550603552018,74.7321147382413,1.31482366481606,78.3791328713751,67.5261453263854,10.8529875449897,"宜蘭縣員山鄉",0
2000,1,10002080,0,73.4136542092293,71.2564429960025,73.4329295530894,75.6094161101762,1.11045232504429,79.6425696845469,69.9491126290959,9.69345705545101,"宜蘭縣冬山鄉",0
2000,1,10002090,0,73.7804693993464,71.0651218337658,73.865078502614,76.6650351714621,1.4285493208409,97.297775925739,69.7510537067803,27.5467222189587,"宜蘭縣五結鄉",0
2000,1,10002100,0,73.0143967991789,69.7878200601924,73.0491778806853,76.3105357011781,1.66395807168003,81.9637636088949,67.4822813835153,14.4814822253796,"宜蘭縣三星鄉",0
2000,1,10002110,0,65.3971992392777,59.3149561074975,65.4646239142684,71.6142917210393,3.13758561569944,76.5647551238998,54.4033874471202,22.1613676767796,"宜蘭縣大同鄉",1
2000,1,10002120,0,64.1619775262638,58.1997327466501,64.1632881023477,70.1268434580452,3.04263028351918,74.591596620273,52.4103332907372,22.1812633295358,"宜蘭縣南澳鄉",1
2000,1,10004010,0,76.0031214892112,74.0670830411641,76.0503389871564,78.0335949331487,1.01186527856749,83.7017806888563,73.0091274348779,10.6926532539784,"新竹縣竹北市",0
2000,1,10004020,0,74.3452861075241,72.5344137836184,74.360738710746,76.1870636378736,0.931798432207938,78.450371857575,71.2799177688888,7.17045408868621,"新竹縣竹東鎮",0
2000,1,10004030,0,74.54161618468,72.0497450547702,74.5604619586687,77.0711788625672,1.28097801219311,79.7264872021091,69.9299335427342,9.79655365937489,"新竹縣新埔鎮",0
2000,1,10004040,0,74.18696187556,71.4518136316936,74.2367098928441,77.0216061539947,1.42086543936253,81.6598827138338,69.1213262702857,12.5385564435481,"新竹縣關西鎮",2
2000,1,10004050,0,74.9693758880192,72.8023144272616,74.9885985748831,77.1748827225045,1.11545109572522,79.0546573366082,70.9744608072905,8.0801965293177,"新竹縣湖口鄉",0
2000,1,10004060,0,74.0658861288157,71.4371284128587,74.1367453702796,76.8363623277005,1.37735559052087,82.6214166471243,69.6314590937116,12.9899575534127,"新竹縣新豐鄉",0
2000,1,10004070,0,74.7538992972968,71.1888513245727,74.8316075712927,78.4743638180128,1.8585491054694,89.2005692653342,69.4757091842977,19.7248600810365,"新竹縣芎林鄉",0
2000,1,10004080,0,74.7375693838026,70.6141990544676,74.8251681367602,79.0361372190528,2.14845361341458,103.90542398457,68.1113846279651,35.7940393566049,"新竹縣橫山鄉",0
2000,1,10004090,0,75.4069980044398,70.1274860447922,75.6086596815064,81.0898333182206,2.79651716158886,93.8687429079287,67.0308458933331,26.8378970145956,"新竹縣北埔鄉",0
2000,1,10004100,0,75.3741730113036,70.7833614816659,75.4319022467355,80.0804430118051,2.3717044719743,100.661734219232,68.8723468827877,31.7893873364443,"新竹縣寶山鄉",0
2000,1,10004110,0,75.2209543920761,68.6862151294198,75.5659609255585,82.4457067216971,3.51007438578502,97.2830183018277,64.367589861236,32.9154284405917,"新竹縣峨眉鄉",0
2000,1,10004120,0,57.7260691057702,53.1782375444318,57.7815245886795,62.3848116329271,2.34861583890187,66.334690469385,49.6193190391793,16.7153714302057,"新竹縣尖石鄉",1
2000,1,10004130,0,58.4220027050669,52.3740804357816,58.4722983628231,64.5705162898646,3.11133567706199,68.5483141742524,47.8951631815888,20.6531509926636,"新竹縣五峰鄉",1
2000,1,10005010,0,75.2893029033037,73.4992974997812,75.3211978062595,77.1430981127377,0.929540972692977,79.4812811825655,72.4442024588803,7.0370787236852,"苗栗縣苗栗市",0
2000,1,10005020,0,72.8185955044088,70.5757896599946,72.8613697621566,75.1469498643185,1.16611229702141,78.3667842133846,68.6906391336661,9.67614507971851,"苗栗縣苑裡鎮",0
2000,1,10005030,0,73.3566798011033,70.8737109558949,73.3955645674758,75.9174181790567,1.28666000590861,78.9428540303174,69.2938203327551,9.6490336975623,"苗栗縣通霄鎮",0
2000,1,10005040,0,73.9959618137956,71.8221718727649,74.0561126483132,76.2900534238615,1.13976570181035,80.7836408739047,70.4577144273308,10.3259264465739,"苗栗縣竹南鎮",0
2000,1,10005050,0,74.0898773539435,72.2390415810674,74.107762454268,75.9764833274687,0.9534290169391,78.0388300732801,70.8058476705227,7.2329824027574,"苗栗縣頭份市",0
